p_name|p_bookID|p_authname|p_date
Tor Books|356|Robert A. Heinlein|8/8/2006
Pocket Books|357|Douglas Adams|2/15/1991
Del Rey|359|Douglas Adams|4/26/2005
Del Rey|362|Nick  Webb|12/27/2005
Ballantine Books|367|Terry Jones|10/27/1998
Turtleback Books|377|Douglas Adams/Christopher Cerf|7/1/2003
Samuel French  Inc.|382|Susan Nanus/Norton Juster|1/12/2011
Princeton University Press|385|Harry G. Frankfurt|1/30/2005
W. W. Norton & Company|386|Nick Flynn|9/12/2005
Simon & Schuster|394|Garry Wills|6/12/1993
HMH Books for Young Readers|397|Abraham Lincoln/Michael McCurdy|2/2/1998
Scribner|399|Don DeLillo|7/9/1998
Penguin|400|Don DeLillo|5/1/1991
Penguin Books|403|Don DeLillo|7/6/1989
Vintage Contemporaries|404|Don DeLillo|7/17/1989
Scribner|406|Don DeLillo|4/6/2004
Penguin Books|407|Don DeLillo|1/1/1994
Vintage|408|Don DeLillo|7/17/1989
Penguin Press|409|Thomas Pynchon|11/21/2006
Harper Perennial Modern Classics|410|Thomas Pynchon|7/5/2005
Harper Perennial|411|Thomas Pynchon|4/1/1999
Penguin Books|412|Thomas Pynchon|1/1/2000
Picador USA|413|Thomas Pynchon/Christophe Claro/Brice Matthieussent|1/3/2004
Penguin Classics|414|Thomas Pynchon|9/1/1997
Penguin Books|415|Thomas Pynchon|10/31/2006
Back Bay Books|416|Thomas Pynchon|4/30/1985
Penguin Classics|418|Richard Fariña/Thomas Pynchon|8/29/1996
Knopf Publishing Group|420|Joan Didion|10/4/2005
Farrar Straus Giroux|421|Joan Didion|10/1/1990
Vintage International|422|Joan Didion|4/11/1995
Vintage|423|Joan Didion|9/14/2004
Farrar Straus Giroux|424|Joan Didion|10/1/1990
Vintage International|425|Joan Didion|4/25/1995
Everyman's Library|426|Joan Didion/John Leonard|10/17/2006
Farrar  Straus and Giroux|428|Joan Didion/David Thomson|11/15/2005
Penguin Classics|431|Paul Auster/Art Spiegelman/Luc Sante|3/28/2006
Penguin Books|432|Paul Auster|4/7/1987
Penguin Books|434|Paul Auster|7/7/1987
Sun and Moon Press|435|Paul Auster|11/1/1986
Sky Books (NY)|444|Peter Moon/Preston B. Nichols/Nina Helms|1/1/1995
Picador|446|Paul Auster|10/17/2006
Penguin Books|447|Paul Auster|4/1/1990
Penguin Books|453|Paul Auster|12/1/1991
Henry Holt & Company|454|Paul Auster|1/23/2007
Penguin Books|456|Paul Auster|9/1/1993
New Directions|463|Paul Auster|6/17/2002
Actes Sud|466|Paul Auster|11/7/2002
Penguin Books Ltd. (London)|475|Jared Diamond|12/27/2005
Business Plus|476|Stephen Leeb/Glen C. Strathy|2/1/2006
Cambridge University Press|477|Joseph A. Tainter|3/29/1990
Simon  Schuster|478|Robert D. Putnam|8/7/2001
Ballantine Books|481|Philip K. Howard|1/29/2002
W. W. Norton  Company|484|Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco|9/17/1998
Filiquarian Publishing  LLC.|493|Nikola Tesla|5/17/2006
Citadel|494|Marc J.  Seifer/William H. Terbo|2/1/2001
Lerner Publications|497|Carol Dommermuth-Costa|10/1/1994
Adventures Unlimited Press|498|Nikola Tesla/David Hatcher Childress|12/1/2000
Harlequin Blaze|511|Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye|6/27/2006
Pragmatic Bookshelf|515|Dave Thomas/Chad Fowler/Andy Hunt|10/11/2004
Cliffs Notes|523|Maureen Kelly/CliffsNotes/William Golding|6/13/2000
Listening Library (Audio)|524|William Golding|10/11/2005
Random House|531|Victor Davis Hanson|9/12/2006
HarperCollins Publishers|534|Ephraim Sevela/Antonina W. Bouis|1/1/1989
Picador|537|Alice Sebold|6/1/2003
Large Print Press|538|Alice Sebold|4/1/2004
Ballantine Books|539|Sharyn McCrumb|5/13/1990
Peachpit Press|565|Dave Shea/Molly E. Holzschlag|2/17/2005
Peachpit Press|570|Elizabeth Castro|8/1/2006
Taschen|576|Michael Ochs/Patrick Javault/Ulrike Wasel|5/15/2005
Scribner|597|Chuck Klosterman|6/13/2006
Scribner|599|Chuck Klosterman|7/2/2004
Bantam|619|Jane Feather|5/2/1996
HarperTorch|629|Robert M. Pirsig|4/25/2006
Walker & Company|639|Kevin O'Malley/Carol Heyer/Scott Goto|4/1/2005
William Morrow Paperbacks|642|Ronald L. DiSanto/Thomas J. Steele|11/19/1990
Haynes Manuals N. America  Inc.|643|John Harold Haynes|7/5/2002
Rockport Publishers|650|Catharine M. Fishel/Bill Gardner|9/1/2004
Signet Classics|655|Leo Tolstoy/Hugh McLean|4/1/2003
Oxford University Press|656|Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude|6/25/1998
Dover Publications|658|Leo Tolstoy/Constance Garnett|9/8/2006
Plume|662|Ayn Rand/Leonard Peikoff|8/1/1999
Signet Book|663|Ayn Rand|12/1/1963
Dutton|664|Ayn Rand|4/26/2005
Signet|665|Ayn Rand/Nathaniel Branden|11/1/1964
NAL|667|Ayn Rand|12/1/1999
Signet|668|Ayn Rand/Leonard Peikoff|1/1/1996
Signet|669|Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen|7/15/1986
NAL|670|Ayn Rand/Michael S. Berliner/Leonard Peikoff|2/1/1997
For Dummies|672|J.J. Isler/Peter Isler|6/1/2006
Delacorte Press|675|Colin  Wells|7/25/2006
Random House Trade Paperbacks|676|Billy Collins|9/17/2002
Lyons Press|678|Christopher Caswell|4/1/2004
Alliance Publishing|681|Kevin Trudeau|1/1/2004
Farrar Straus Giroux|685|Bernard Malamud/Kevin Baker|7/7/2003
Alfred A. Knopf|698|Anne Tyler|5/2/2006
Bedford Books|700|Gary Colombo/Bonnie Lisle|1/21/2004
Oxford University Press  USA|702|Thomas E. Skidmore/Peter H. Smith|10/7/2004
