p_name|p_bookID|p_authname|p_date
HarperCollins Publishers|24626|Mollie Hunter/Lisa Falkenstern|4/6/1977
Neil Wilson Publishing|24634|Nigel Tranter|9/1/2012
Adamant Media Corporation|24635|Walter Scott|11/16/2000
Cumberland House Publishing|24636|Walter Scott/George Grant|10/20/2000
Puffin Books|24647|Roger Lancelyn Green/Alan Langford|11/1/1994
New York Review of Books|24655|Ingri d'Aulaire/Edgar Parin d'Aulaire/Michael Chabon|5/31/2005
Penguin UK|24657|Kevin Crossley-Holland|1/7/1997
Penguin Classics|24658|Snorri Sturluson/Jesse L. Byock|7/28/2005
New Page Books|24660|Galina Krasskova/Swain Wódening|5/15/2005
Oxford University Press  USA|24666|Barbara Leonie Picard/Rosamund Fowler|3/22/2001
St. Martin's Paperbacks|24671|Robert Ludlum|10/17/2004
Broadway Books|24674|Rosalind Miles|6/24/2003
Cleis Press|24676|Tristan Taormino|1/27/2006
HarperCollinsChildren’sBooks|24682|Dr. Seuss|5/6/2003
Schwartz & Wade Books|24686|Emily Jenkins/Paul O. Zelinsky|9/12/2006
Vintage|24692|Andrew Delbanco|9/12/2006
HarperCollins|24703|Jane Leslie Conly/Leonard B. Lubin|9/1/1988
HarperCollins|24704|Jane Leslie Conly/Leonard B. Lubin|9/30/1991
HarperOne|24711|Sue Monk Kidd|8/20/2002
Viking Books|24723|T. Coraghessan Boyle|7/6/2006
Penguin Books|24724|T. Coraghessan Boyle/Richard Poe|1/27/2004
Penguin Books|24725|T. Coraghessan Boyle|6/27/2006
Penguin Books|24727|T. Coraghessan Boyle|8/1/1991
Penguin Books|24729|T. Coraghessan Boyle|12/31/2002
Penguin Books|24733|T. Coraghessan Boyle|7/27/1990
Penguin Books|24736|T. Coraghessan Boyle|7/20/1990
Viking Books|24737|T. Coraghessan Boyle|5/24/1989
Penguin Books|24739|T. Coraghessan Boyle|5/1/1990
Gale Cengage|24749|Jay Parini/August Wilson|5/1/2001
Penguin Books|24751|T. Coraghessan Boyle|5/6/1986
Grasset|24753|T. Coraghessan Boyle|9/1/1993
Laurel Leaf Books|24761|Madeleine L'Engle|12/1/1990
University Press of Mississippi|24762|William Rodney Allen/Kurt Vonnegut Jr.|1/1/1988
Razorbill|24763|Scott Westerfeld|9/8/2005
Simon Pulse|24765|Scott Westerfeld|5/9/2006
Harper Teen|24767|Scott Westerfeld|3/1/2006
Simon & Schuster Simon Pulse|24768|Scott Westerfeld|11/1/2005
Eos|24769|Scott Westerfeld|2/6/2007
Simon Pulse|24770|Scott Westerfeld|2/8/2005
Running Press|24771|Scott Westerfeld|4/3/2000
Young Picador|24775|Philip Pullman|9/2/2005
Yearling|24777|Philip Pullman/Diana Bryan|2/22/2000
Square Fish|24779|Lloyd Alexander|5/16/2006
Square Fish|24780|Lloyd Alexander|5/16/2006
Square Fish|24781|Lloyd Alexander|5/16/2006
Square Fish|24782|Lloyd Alexander|5/16/2006
Firebird Books|24783|Lloyd Alexander|1/14/2002
Square Fish|24784|Lloyd Alexander|5/16/2006
Square Fish|24785|Lloyd Alexander|5/16/2006
Henry Holt and Company|24786|Michael O. Tunnell/Lloyd Alexander|4/1/2003
Dutton Children's Books|24787|Lloyd Alexander|5/21/2001
Puffin Books|24788|Lloyd Alexander|7/8/2002
Babel|24789|Don DeLillo/Michel Courtois-Fourcy|1/1/2001
HarperLargePrint|24796|Isabel Allende/Margaret Sayers Peden/محمدعلی مهمان‌نوازان|5/3/2005
Random House|24800|Mark Z. Danielewski|3/7/2000
Ballantine Books|24804|Silas House|8/26/2003
Penguin Books|24807|John Hodgman|9/5/2006
Andrews McMeel Publishing|24812|Bill Watterson|9/6/2005
Andrews McMeel Publishing|24813|Bill Watterson|9/5/1995
Andrews McMeel Publishing|24814|Bill Watterson|9/1/1996
Andrews McMeel Publishing|24816|Bill Watterson|9/6/1994
Andrews McMeel Publishing|24818|Bill Watterson|9/1/1993
Time Warner Books UK|24819|Bill Watterson|2/1/2008
Andrews McMeel Publishing|24820|Bill Watterson|9/17/2001
Ace|24827|Richard Paul Russo|12/31/2001
Ace Trade|24828|Richard Paul Russo|12/6/2005
Bantam Books|24832|Ray Bradbury|1/1/1976
Atlantic Books (UK)|24835|John Barth|3/1/2005
Anchor Books|24836|John Barth|3/11/1997
Mariner Books|24840|John Barth|11/20/2001
Dalkey Archive Press|24842|John Barth|10/1/1994
Touchstone|24850|Harry Crews|2/23/1993
Le Livre de Poche|24858|Hermann Hesse|1/1/1991
Dover Publications|24863|Hermann Hesse/Stanley Appelbaum|6/11/2002
Baen Books|24865|S.M. Stirling|2/1/1997
Del Rey|24866|Anne McCaffrey/Todd McCaffrey|12/28/2004
Brilliance Audio|24873|Anne McCaffrey/Dick Hill|9/25/2005
Puffin Books|24875|William Sleator|4/1/1991
Puffin Books|24878|William Sleator|6/1/1995
Harry N. Abrams|24880|William Sleator|9/26/2006
Puffin Books|24881|William Sleator|10/1/1999
Puffin Books|24884|William Sleator|6/1/1999
Puffin Books|24885|William Sleator|4/1/1991
Firebird|24887|William Sleator|2/9/2004
Harry N. Abrams|24888|William Sleator|4/1/2005
Starscape|24889|William Sleator|5/2/2006
Dutton Books|24893|William Sleator/Lawrence Di Fiori|4/14/1981
Dutton Books|24894|William Sleator/Steven Kellogg|3/22/1979
Dutton Juvenile|24898|William Sleator|9/1/1999
Hodder Children's Books|24899|William Sleator|12/6/2001
Harper Collins|24904|Russell Hoban/Lillian Hoban|6/6/2002
Bloomsbury Publishing PLC|24905|Russell Hoban|1/2/2002
David R. Godine|24908|Russell Hoban/Quentin Blake|10/1/2006
Plume|24910|E.L. Doctorow|5/1/1996
Random House Trade Paperbacks|24914|E.L. Doctorow|9/12/2006
Wings|24917|E.L. Doctorow|5/8/1994
Farrar Straus Giroux|24920|Jonathan Franzen|9/5/2006
Penguin Books  Limited (UK)|24922|John Kennedy Toole|2/26/2003
Penguin Classics|24923|John Kennedy Toole/Walker Percy|3/30/2000
Quinteto|24925|John Kennedy Toole|1/10/2006
William Morrow Paperbacks|24929|Gregory Maguire/Douglas Smith|9/17/2002
Clarion Books|24930|Gregory Maguire/Diana Bryan|10/21/2002
HarperCollins|24933|Gregory Maguire/Elaine Clayton|12/4/2001
Hachette Books|24937|David Cote/Stephen Schwartz/Joan Marcus/Winnie Holzman|10/26/2005
Avon|24939|Victoria Alexander|12/26/2006
Aurum|24942|Errol Flynn/Jeffrey Meyers|2/25/2005
Bantam Books|24944|Roald Dahl|1/18/1984
Puffin Books|24945|Roald Dahl|9/27/2001
Yearling|24949|Roald Dahl/Jill Bennett|6/1/1984
Heinemann Library|24951|Roald Dahl|9/1/2009
Jonathan Cape|24953|Roald Dahl/Quentin Blake|11/7/2002
Hachette|24955|Roald Dahl|9/5/2001
Palgrave Macmillan|24956|Michael Hanlon|8/8/2006
Puffin Books (Penguin Books)|24958|Susan Cooper|10/25/1984
Princeton University Press|24964|Søren Kierkegaard/Howard Vincent Hong/Edna Hatlestad Hong|6/19/2000
Penguin Books|24965|Søren Kierkegaard/Alastair Hannay|5/30/2006
Princeton University Press|24968|Søren Kierkegaard/Edna Hatlestad Hong/Howard Vincent Hong|6/1/1983
Penguin Classics|24970|Søren Kierkegaard/Victor Eremita/Alastair Hannay|12/1/1992
Subterranean Press|24978|Connie Willis|6/1/2005
Bantam|24979|Connie Willis|10/31/2000
Bantam Doubleday Dell Publishing Company Inc.|24980|Connie Willis|6/1/1992
Spectra|24982|Connie Willis|6/1/1994
Bantam|24984|Connie Willis|1/2/2002
Spectra|24985|Connie Willis|6/2/1997
Hill and Wang|25002|Roland Barthes/Annette Lavers/Colin Smith/Susan Sontag|5/1/1977
Belknap Press|25005|Anthony Grafton|3/15/1995
NYRB Classics|25012|Girolamo Cardano/Jean Stoner/Anthony Grafton|10/31/2002
Harper Perennial|25013|Simon Winchester|10/10/2006
Perennial|25014|Simon Winchester|7/30/2002
Picador|25015|Simon Winchester|4/1/2004
Harper Perennial|25016|Simon Winchester|6/15/2004
Harper Perennial|25017|Simon Winchester|7/5/2005
Sceptre|25021|Thomas Cahill|3/3/2003
Kyle Books|25023|Darina Allen/Regina Sexton|12/22/2004
University of North Carolina Press|25025|James Graham Leyburn|8/30/1989
Running Press|25027|Ashley Shannon|2/22/1999
Watson-Guptill|25032|Juliette Aristides|11/1/2006
Ash Tree Publishing|25033|Juliette De Bairacli Levy/Heather  Wood|4/11/1996
Faber  Faber|25034|Juliette De Bairacli Levy|4/8/1991
Ediciones B|25037|Juliette Benzoni/Francisco Rodriguez de Lecea|1/1/2007
Scholastic|25041|James Preller/R.W. Alley/Jamie  Smith|1/1/2006
Scholastic|25044|James Preller/R.W. Alley/Jamie  Smith|1/1/2007
Scholastic Paperbacks|25045|James Preller/R.W. Alley|3/1/2001
Scholastic Paperbacks|25047|James Preller/John Speirs/James Preller|3/1/2001
Scholastic Paperbacks|25048|James Preller/Jamie Smith/R.W. Alley|1/1/2002
Scholastic Paperbacks|25050|James Preller/John Speirs/R.W. Alley|3/1/2001
HarperCollins|25051|Betty MacDonald/Alexandra Boiger|8/14/2007
HarperCollins|25052|Betty MacDonald/Alexandra Boiger|8/14/2007
HarperCollins|25053|Betty MacDonald/Alexandra Boiger|8/14/2007
HarperCollins|25055|Betty MacDonald/Hilary Knight|6/15/1995
Spectra|25059|David Brin|10/1/1996
Bloomsbury|25060|Jay McInerney|8/6/2001
Picador|25061|Colum McCann|1/1/2003
Pinnacle|25065|Roberta Gellis|6/1/1994
Editions de l'Olivier|25069|Jay McInerney/Sylvie Durastanti|10/14/1997
Bloomsbury Publishing PLC|25074|Jay McInerney|8/6/2009
Harper Perennial|25078|Jonathan Kozol|6/12/1992
Penguin Books|25083|Dan Savage|9/30/2003
Penguin Books|25084|Dan Savage|10/1/1998
Vertigo|25099|Neil Gaiman/Steve Parkhouse/Chris Bachalo/Michael Zulli/Mike Dringenberg/Malcolm Jones III/Todd Klein/Clive Barker|3/10/1999
DC Comics|25100|Neil Gaiman/Kelley Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Erickson|2/5/1999
Vertigo|25101|Neil Gaiman/Matt Wagner/George Pratt/Dick Giordano/Kelley Jones/P. Craig Russell/Mike Dringenberg/Malcolm Jones III/Todd Klein/Harlan Ellison|3/10/1999
Vertigo|25102|Neil Gaiman/Shawn McManus/Colleen Doran/Bryan Talbot/George Pratt/Stan Woch/Dick Giordano/Todd Klein|3/10/1999
Vertigo|25103|Neil Gaiman/Mike Allred/Gary Amaro/Mark Buckingham/David Giordano/Tony Harris/Steve Leialoha/Vince Locke/Shea Anton Pensa/Alec Stevens/Bryan Talbot/John Watkiss/Todd Klein/Michael Zulli/Stephen King|7/16/1999
Vertigo|25104|Neil Gaiman/Michael Zulli/Jon J. Muth/Charles Vess/Mikal Gilmore|9/3/1999
DC Comics|25106|Neil Gaiman/Bryan Talbot/Stan Woch/P. Craig Russell/Shawn McManus/John Watkiss/Jill Thompson/Duncan Eagleson/Kent Williams/Todd Klein|3/10/1999
Vintage|25109|J. Anthony Lukas|8/12/1986
Blue Sky Press|25112|Molly Bang|10/1/1997
W. W. Norton  Company|25118|William Cronon|10/17/1996
Five Star Trade|25120|Sandra Balzo|9/1/2005
Psychology Press|25129|James J. Gibson|9/1/1986
Creation Books|25142|Mark Manning|10/1/2001
MTV Books|25148|Arthur Nersesian|5/1/1999
Hyperion|25150|Alexandra Robbins|4/14/2004
Viz Media|25152|Junji Ito/伊藤潤二|10/6/2001
Viz Media|25153|Junji Ito/伊藤潤二|7/6/2002
Viz Media|25154|Junji Ito/伊藤潤二|10/6/2002
Viking Books|25170|Martha Grimes|2/1/2007
Signet|25171|Martha Grimes|3/6/2007
Onyx|25172|Martha Grimes|6/1/2004
Berkley Books|25173|Martha Grimes|9/1/2006
Onyx|25174|Martha Grimes|11/2/2004
Onyx|25175|Martha Grimes|1/6/2004
Berkley Books|25176|Martha Grimes|2/4/2003
NAL|25177|Martha Grimes|6/1/2002
Top Shelf Productions|25179|Craig Thompson|8/18/2003
Penguin Books|25190|A.N. Roquelaure/Anne Rice|5/1/1999
Grove Press|25191|Kenzaburō Ōe/John Nathan|1/13/1994
Marion Boyars Publishers|25192|Kenzaburō Ōe/John Nathan|3/4/2000
Atlantic Books|25198|Kenzaburō Ōe|7/10/2003
Taplinger Publishing|25200|Shūsaku Endō/William Johnston|1/1/1999
New Directions Publishing Corporation|25201|Shūsaku Endō/Van C. Gessel|5/1/1994
Tuttle Publishing|25210|Shūsaku Endō/Francis Mathy|8/15/2003
Dark Horse Manga|25216|Hiroki Endo|5/16/2006
New Directions|25225|Shūsaku Endō/Van C. Gessel|4/17/1997
Farrar Straus Giroux|25226|Natalie Babbitt|3/1/2005
Dover Publications|25241|Georg Wilhelm Friedrich Hegel/J. Sibree/C.J. Friedrich/Charles Hegel|9/10/2004
Pearson|25242|Georg Wilhelm Friedrich Hegel/Robert S. Hartman|12/24/1995
Harper Perennial|25244|Georg Wilhelm Friedrich Hegel|4/21/1977
Hackett Publishing Company  Inc.|25245|Georg Wilhelm Friedrich Hegel/Leo Rauch|6/1/1988
Oxford University Press|25246|Peter Singer|12/6/2001
Cambridge University Press|25248|Georg Wilhelm Friedrich Hegel/Allen W. Wood/Raymond Geuss|10/25/1991
McGraw-Hill/Glencoe|25252|Kurt Reiter|1/1/1989
Carlsen|25257|James Krüss|12/1/2002
HarperCollins Publishers|25260|Laurence Yep/Kam Mak/Ann Tashi Slater|9/7/1995
HarperCollins|25268|Laurence Yep/David Wiesner|8/30/1992
HarperCollins|25278|Laurence Yep|5/8/2001
HarperCollins|25279|Laurence Yep|1/23/2001
Troll Communications|25282|Laurence Yep/Isadore Seltzer|9/13/1997
HarperCollins|25286|Laurence Yep/Kam Mak|1/9/1999
Wizards of the Coast|25295|Richard A. Knaak|1/1/2004
Tor Fantasy|25296|Juliet Marillier|3/6/2007
John Wiley & Sons|25299|Andrew James McLean/Gary W. Eldred|11/1/2005
Random House Trade|25307|Reza Aslan|1/10/2006
Anchor|25319|George MacDonald Fraser|11/14/2006
Baen|25320|David Weber/John Ringo|5/1/2002
Scholastic Inc.|25321|Kevin Crossley-Holland|3/1/2006
Wadsworth Publishing Company|25329|Richard B. Lee|2/4/2002
Dark Horse Manga|25332|Kei Ohishi/Joe Swift|9/19/2006
Farrar  Straus and Giroux|25344|Anthony E. Wolf|8/21/2002
Ballantine Books|25347|Anne Rice|10/31/2006
New Harbinger Publications|25348|Steven C. Hayes/Spencer  Smith|11/1/2005
TarcherPerigee|25349|Carol Stock Kranowitz/T.J. Wylie|8/1/2006
HarperCollins|25350|C.S. Lewis|12/5/2005
Delacorte Press|25352|Danielle Steel|6/27/2006
Orchard Books|25353|Deborah Hopkinson|10/1/2003
Abrams|25355|Dan Nadel|6/1/2006
Perigee Trade|25359|Carol Stock Kranowitz/T.J. Wylie/Trude Turnquist|1/7/2003
TokyoPop|25363|Satosumi Takaguchi|12/12/2006
Vintage|25365|Natsuo Kirino/Stephen Snyder|1/4/2005
Bertrand|25367|Natsuo Kirino|5/27/2002
Goldmann|25368|Natsuo Kirino|3/1/2003
Random House Children's Books|25372|David Levithan|12/24/2008
Alfred A. Knopf Books for Young Readers|25373|Rachel Cohn/David Levithan|5/23/2006
It Books|25375|Neil Strauss/Jenna Jameson|9/26/2006
St. Martin's Press|25376|Mystery/Neil Strauss|2/6/2007
Dey Street Books|25378|Neil Strauss/Vince Neil/Nikki Sixx/Mick Mars/Tommy Lee|7/9/2002
Denoël|25379|Marilyn Manson/Neil Strauss/Gilles Vaugeois|11/15/2000
Vida|25395|Rick Warren|5/31/2005
Phoenix|25401|Jostein Gaarder/James Anderson|5/10/2011
Phoenix|25403|Jostein Gaarder/James Anderson|7/6/2005
Farrar  Straus and Giroux|25406|Jostein Gaarder/Paulette Møller|3/20/2007
Farrar Straus and Giroux|25407|Jostein Gaarder/Anne   Born|2/28/1998
W. W. Norton  Company|25409|Amartya Sen/Λία Βουτσοπούλου|2/17/2007
Vintage Books USA|25419|Esmeralda Santiago|10/11/1994
Y Lolfa|25426|Nicholas    Evans/Rhonda  Evans|6/22/1987
Destiny Books|25431|John Perkins|9/1/1999
Healing Arts Press|25433|John Perkins|5/1/1989
Regal Books|25435|John M. Perkins/Shane Claiborne|12/6/2006
Newmarket|25440|Mira Nair/Jhumpa Lahiri|12/1/2006
LSU Press|25444|Robert Penn Warren/John Burt/Harold Bloom|10/1/1998
University Press of Kentucky|25449|Robert Penn Warren/James H. Justus/Xavier Pàmies|2/24/2006
Recorded Books|25454|Jeannette Walls/Julia Gibson|11/1/2005
Crown|25457|Jimmy Carter/Amy Carter|11/21/1995
University of Arkansas Press|25458|Jimmy Carter|7/1/1995
HarperCollins Publishers|25460|Barbara Kingsolver/Steven L. Hopp/Camille Kingsolver/Richard A. Houser|5/1/2007
Princeton University Press|25463|John F. Nash/Harold William Kuhn/Sylvia Nasar|3/18/2007
Simon Pulse|25473|Robert C. O'Brien|7/10/2007
Holt Paperbacks|25489|Erich Fromm|2/15/1992
Holt McDougal|25491|Erich Fromm|9/15/1994
Bloomsbury Academic|25492|Erich Fromm/Rainer Funk|9/1/1994
Routledge Taylor & Francis Books Ltd imprint|25494|Erich Fromm|4/24/2003
Yale University Press (New Haven  CT)|25495|Erich Fromm/محمود منقذ الهاشمي|9/10/1959
Dominion Press|25510|David H. Chilton|1/1/1987
Atria Books|25516|Laura Esquivel/Jordi Castells|2/7/2006
Atria Books|25517|Laura Esquivel/Jordi Castells/Ernesto Mestre-Reed|5/2/2006
University Press of Mississippi|25534|Joseph Blotner|5/4/2005
HarperCollins|25553|Stuart J. Murphy/Holly Keller|3/27/1996
Kensington|25563|Michael Craft|6/16/2000
Kensington|25564|Michael Craft|6/1/1999
Minotaur Books|25565|Michael Craft|6/4/2003
Kensington|25566|Michael Craft|5/1/2000
Mariner Books|25587|Winston S. Churchill/John Keegan|5/9/1986
Mariner Books|25589|Winston S. Churchill/Denis Kelly|9/17/1991
Dramatists Play Service|25618|John Guare|12/1/1995
Alfaguara|25623|Jorge Bucay/Silvia Salinas|3/1/2004
McGraw-Hill Companies|25639|Christopher   Black/Mark Anestis|10/1/2005
Broadway Books|25652|Mark Bittman|10/11/2005
Broadway Books|25653|Mark Bittman|9/10/2002
Penguin Books USA Inc.|25663|Samuel Hynes|4/1/1998
Bantam Doubleday Dell (NYC)|25669|Thomas Cahill|2/1/1996
Catholic Book Publishing|25672|Augustine of Hippo/J.M. Lelen|1/1/1997
Penguin Books Ltd|25673|Augustine of Hippo/Henry Bettenson|11/27/2003
Bradford Book|25685|Eleanor J. Gibson|2/3/1994
McGraw-Hill Humanities/Social Sciences/Languages|25688|Tacitus/Alfred J. Church/William Jackson Brodribb/Moses Hadas|9/1/1964
Penguin Books|25689|Tacitus/Harold Mattingly/S.A. Handford|2/28/1971
Harvard University Press|25692|Tacitus/Maurice Hutton/Robert Maxwell Ogilvie/E.H. Warmington/William Peterson/Michael Winterbottom|1/1/1914
Oxford University Press|25693|Tacitus/Anthony Richard Birley|9/23/1999
Arlington House|25698|Adam Smith|3/4/2003
Modern Library|25701|Adam Smith/Robert B. Reich|7/12/2000
Sophia Institute Press|25707|Thomas Aquinas|12/1/2005
Image|25708|G.K. Chesterton/Anton C. Pegis|1/15/1974
Christian Classics|25709|Thomas Aquinas|1/1/1981
Penguin Classics|25711|Thomas Aquinas/Ralph McInerny|6/25/1998
Oxford University Press|25713|Thomas Aquinas/Timothy McDermott|8/20/1998
University of Notre Dame Press|25715|Thomas Aquinas/John A. Oesterle|1/1/1984
Scribner|25719|Anita Diamant|3/6/2001
Schocken Books Inc|25721|Anita Diamant/Karen Kushner|9/5/2000
Yellow Jersey|25725|Lance Armstrong/Sally Jenkins|7/1/2004
Farrar  Straus and Giroux|25737|Isaac Bashevis Singer/Herb Johnson|8/1/1983
Patmos|25740|Isaac Bashevis Singer|2/1/2001
Library of America|25741|Isaac Bashevis Singer/Ilan Stavans|7/8/2004
Farrar  Straus and Giroux|25743|Isaac Bashevis Singer/Cecil Hemley|10/1/1988
Library of America|25744|Isaac Bashevis Singer/Ilan Stavans|7/8/2004
Scholastic|25752|Hilary H. Milton|12/1/1982
Franklin Watts|25756|Hilary H. Milton|1/1/1983
Nelson Current|25772|William J. Bennett|5/23/2006
Vintage|25777|Alexis de Tocqueville/Eduardo Brandão/Phillips Bradley/Luann Walther|8/11/1990
University Of Chicago Press|25779|Alexis de Tocqueville/John Stone/Stephen Mennell|9/15/1982
Princeton University Press|25780|R.R. Palmer|4/1/1987
Avon Books|25781|Michael Swanwick|2/28/2012
Shambhala|25788|Miyamoto Musashi/Thomas Cleary|4/13/1993
Shambhala|25789|Miyamoto Musashi/Thomas Cleary|1/11/2005
Houghton Mifflin Harcourt|25790|Alan  Lee/Ian McKellen|10/19/2005
Vertical|25794|Kōji Suzuki/Glynne Walley|12/12/2006
Kodansha International|25800|Miyamoto Musashi/William Scott Wilson/Shiro Tsujimura|3/1/2002
Dutton Books|25802|Lauren Willig|12/1/2006
Digital Manga Publishing|25803|Satoru Kannagi/Hotaru Odagiri|10/26/2006
Digital Manga Publishing|25804|Satoru Kannagi/Hotaru Odagiri|7/5/2006
Lark Books|25806|Marthe Le Van/Robert W. Ebendorf/Lark Books|8/1/2004
Orion|25807|James M. Cain|9/9/2010
Disney-Hyperion|25809|Laura Godwin/John Wallace|2/20/2006
Alderac Entertainment Group|25810|Rich Wulf/Shawn Carman/Seth Mason/Rob Vaux/Katie Yates/Brian Yoon/Fred Wan/D.J. Trindle|6/6/2005
Open Court|25811|Gregory Bassham/Eric Bronson|8/4/2003
Broadway Books|25812|Diane Haeger|4/5/2005
Digital Manga Publishing|25814|Satoru Kannagi/Hotaru Odagiri/Allison Markin Powell|3/28/2006
Vintage|25815|W.G. Sebald/Michael Hulse|7/1/1995
Digital Manga Publishing|25816|Satoru Kannagi/Hotaru Odagiri/Sachiko Sato|8/1/2004
Dark Horse Manga|25817|Misao Inagaki/Hiroshi Takahashi|11/25/2003
Hodder & Stoughton Educational Division|25841|Andrew      Hunt|4/1/2000
VIZ Media LLC|25848|Kazuo Umezu|4/17/2007
VIZ Media LLC|25849|Kazuo Umezu|8/8/2006
VIZ Media LLC|25850|Kazuo Umezu|6/19/2007
VIZ Media LLC|25852|Kazuo Umezu|8/21/2007
VIZ Media LLC|25853|Kazuo Umezu|10/10/2006
VIZ Media LLC|25855|Kazuo Umezu|2/20/2007
Routledge/Taylor & Francis Ltd.|25863|Michael Eliot Howard|11/11/2001
Modern Library|25866|Iraj Pezeshkzad/Dick Davis/Azar Nafisi|4/11/2006
Modern Library|25868|Leo Tolstoy/Aylmer Maude/Louise Maude/Azar Nafisi|7/8/2003
Penguin|25869|Abolqasem Ferdowsi/Dick Davis/Azar Nafisi|3/1/2007
BradyGames|25875|Brady Games|7/8/2005
BradyGames|25879|Brady Games|10/28/2005
BradyGames|25880|Brady Games|9/20/2005
Bradygames|25881|Tim Bogenn|11/25/2003
Orion|25884|Jan Guillou/Anna Paterson|12/5/2002
HarperOne|25886|Huston Smith/Philip Novak|12/14/2004
Sentient Publications|25895|Huston Smith|9/12/2003
Knopf Doubleday Publishing Group|25903|Anthony E. Wolf|5/12/1988
Picador|25905|Hermann Hesse/Michael E. Roloff|7/1/2003
Blu|25919|Yuki Shimizu|7/3/2006
Blu|25921|Yuki Shimizu|11/8/2005
Blu|25922|Yuki Shimizu|5/1/2007
Blu|25923|Yuki Shimizu|3/7/2006
Blu|25924|Yuki Shimizu|8/1/2007
Random House (Vintage)|25930|Dai Sijie/Ina Rilke|4/17/2002
Dodo Press|25932|Honoré de Balzac/Ellen Marriage/George Saintsbury|5/1/2006
Penguin Classics|25933|Honoré de Balzac/Donald Adamson|5/27/1976
Penguin Classics|25934|Honoré de Balzac/Rayner Heppenstall|9/26/1985
Kessinger Publishing|25936|Honoré de Balzac|12/8/2005
Kessinger Publishing|25937|Honoré de Balzac|6/17/2004
Findakly|25941|Honoré de Balzac|1/19/1998
Penguin Classics|25946|Honoré de Balzac/Herbert J. Hunt|5/25/1978
Gingko Press|25955|Marshall McLuhan/Quentin Fiore/Jerome Agel|8/1/2001
Routledge|25956|Marshall McLuhan/Eric McLuhan/Frank Zingrone|6/7/1997
Gingko Press|25961|Marshall McLuhan/W. Terrence Gordon/Philip B. Meggs|11/1/2003
Mariner Books|25965|Michael     Lewis/Glenn Stout|10/11/2006
Moyer Bell and its subsidiaries|25992|Pearl S. Buck|1/1/2004
Cambridge University Press|25993|Peter Conn|1/28/1998
Moyer Bell and its subsidiaries|25996|Pearl S. Buck|1/1/2004
KiWi|26009|Bret Easton Ellis|2/22/2010
10/18|26012|Bret Easton Ellis/Pierre Guglielmina|2/15/2001
NAL|26023|Jen Lancaster|5/1/2007
Jove|26046|Nora Roberts|8/29/2006
Silhouette|26047|Nora Roberts|11/21/2006
Silhouette Books|26048|Nora Roberts|9/19/2006
Jove|26049|Nora Roberts|9/27/2005
Putnam|26050|Nora Roberts|7/11/2006
Putnam Adult|26051|Nora Roberts|6/4/2001
Silhouette Books|26052|Nora Roberts|10/24/2006
Bantam Books|26053|Nora Roberts|3/27/2012
Mira|26054|Nora Roberts|1/28/2006
Mira|26055|Nora Roberts|6/16/2006
Dial Press Trade Paperback|26064|David Schickler|8/27/2002
Princeton University Press|26069|Robert D. Putnam|6/16/1994
Prentice Hall|26071|Robert D. Putnam|1/1/1976
W. W. Norton  Company|26075|Burton G. Malkiel|4/17/2003
W. W. Norton & Company|26079|Burton G. Malkiel/Christopher Flavin|1/1/1985
DC Comics|26085|Brad Meltzer/Rags Morales/Michael Bair/Joss Whedon|8/16/2006
DC Comics|26088|Kurt Busiek/Stuart Immonen|4/9/2013
McGraw-Hill Education|26090|Deborah Bray Haddock|8/21/2001
Simon  Schuster Books for Young Readers|26092|Margaret Peterson Haddix|10/1/2005
Harper|26093|Milan Kundera/Linda Asher|4/21/1998
Harper Perennial|26097|Milan Kundera/Linda Asher|4/11/1997
Faber & Faber|26101|Milan Kundera/Suzanne Rappaport|8/21/2000
Vintage|26123|Martin E.P. Seligman|1/3/2006
Puffin Books|26130|Robert McCloskey|12/29/2005
Basic Books|26131|Robin Lane Fox|10/9/2006
Aladdin|26133|Padraic Colum/Willy Pogány|7/1/2004
Island Books|26134|Homer Hickam|9/4/2001
Beacon Press|26146|Viktor E. Frankl/Ilse Lasch/Harold S. Kushner/William J. Winslade|6/1/2006
Rider|26147|Viktor E. Frankl/Ilse Lasch/Gordon W. Allport|5/6/2004
Pharos Books|26154|Rheta Grimsley Johnson|12/31/1989
Pantheon|26156|Chip Kidd/Jean Schulz/Charles M. Schulz/Geoff Spear|10/28/2003
Motilal Banarsidass|26165|Paramahansa Yogananda|10/1/2002
Ballantine Books|26175|Jeff Shaara|8/30/2005
William Morrow Paperbacks|26184|Kuki Gallmann|3/22/2000
Atria Books|26187|Dan Brown|7/28/2003
Fleming H. Revell Company|26189|Augustine of Hippo|3/1/1992
University of Chicago Press|26190|Hannah Arendt/Joanna Vecchiarelli Scott/Judith Chelius Stark|4/26/1998
Harry N. Abrams|26197|Sophie Braimbridge/Erica Jankovich|4/1/2006
Red Dress Ink|26206|Sarah Mlynowski|7/25/2006
Delacorte Books for Young Readers|26207|Sarah Mlynowski|6/26/2007
Delacorte Press|26210|Sarah Mlynowski|6/13/2006
Mira books|26211|Sarah Mlynowski|4/15/2005
Delacorte Press|26212|Sarah Mlynowski|6/13/2006
HMH Books for Young Readers|26214|Tomie dePaola|4/25/1979
Holiday House|26216|Tomie dePaola|1/1/1992
Soho Press|26226|Janwillem van de Wetering|7/1/2003
Soho Press|26229|Janwillem van de Wetering/Arthur P. Yin|7/1/1998
VIZ Media LLC|26236|Chiho Saito|3/10/2004
