hr_name|hr_bookID
Steven Pressfield/Robert McKee|1319
Stephen J. Rosen/Steven Pressfield|1320
David J. Danelo/Steven Pressfield|1322
Plato/Walter Hamilton|1326
Plato/Robin Waterfield|1327
Plato/C.J. Rowe|1328
Plato/Benjamin Jowett|1334
Josef Pieper/Richard Winston/Clara Winston|1337
Plato/C.D.C. Reeve|1338
Plato/James H. Nichols Jr.|1342
Plato/C.J. Rowe|1351
Plato/Walter Hamilton/Chris Emlyn-Jones|1354
Herodotus/Aubrey de Sélincourt/John M. Marincola|1362
Herodotus/Aubrey de Sélincourt/John M. Marincola|1363
Herodotus/Henry Francis Cary|1364
Herodotus/Carolyn Dewald/Robin Waterfield|1365
Herodotus/Aubrey de Sélincourt/Andrew Robert Burn|1366
Herodotus/Jennifer Tolbert Roberts/Walter Blanco|1367
Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas|1368
Herodotus/Peter Grene|1369
Homer/Robert Fagles/Bernard Knox|1371
Homer/Stanley Lombardo/Sheila Murnaghan|1373
Homer/Robert Fitzgerald/Andrew Ford|1374
Homer/Robert Fagles/Bernard Knox|1375
Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu|1376
Homer/W.H.D. Rouse|1377
Homer/Sheila Murnaghan/Stanley Lombardo|1378
Homer/Robert Fagles/Bernard Knox|1381
Homer/Robert Fitzgerald/D.S. Carne-Ross|1382
Homer/Richmond Lattimore|1383
Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu|1384
Homer/W.H.D. Rouse|1387
Virgil/Barbara Weiden Boyd|1391
Virgil/Henry Rushton Fairclough/G.P. Goold|1402
Ed Roberson|1403
Virgil/Cecil Day-Lewis|1405
Paul  Kirk|1408
William Shakespeare/Stephen Orgel/A.R. Braunmuller|1417
William Shakespeare|1419
William Shakespeare/Harold Bloom/Rex Gibson|1420
Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield|1423
Paulo Coelho/Alan R. Clarke|1424
Paulo Coelho/Alan R. Clarke|1425
Paulo Coelho|1426
Paulo Coelho/Margaret Jull Costa|1427
Paulo Coelho/Alan R. Clarke|1428
Paulo Coelho/Clifford E. Landers|1429
Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal|1431
William Shakespeare/Stephen Orgel/A.R. Braunmuller|1433
Carla Lynn Stockton|1437
William Shakespeare/Terri Mategrano|1438
Giorgio De Santillana/Hertha Von Dechend|1439
Thucydides/C.F. Smith|1440
Thucydides/Paul Woodruff|1441
Thucydides/C.F. Smith|1444
Thucydides/Steven Lattimore|1445
Thucydides/Jennifer Tolbert Roberts/Walter Blanco|1449
Thucydides/C.F. Smith|1459
Cynthia W. Shelmerdine|1461
Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone|1462
Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith|1463
Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker|1465
Anne Carson/Euripides|1466
Euripides/Moses Hadas/John Maclean|1467
Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts|1468
Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith|1470
Euripides/John Davie/Richard Rutherford|1473
Euripides/David Kovacs|1474
Euripides/Donald J. Mastronarde|1475
Euripides/John Davie/Richard Rutherford|1476
Euripides/Reginald Gibbons/Peter H. Burian|1479
Euripides/David Thompson/J. Michael Walton|1480
Euripides|1486
Wole Soyinka|1488
Euripides/James Morwood/Robin Waterfield|1489
Euripides/David Kovacs|1491
Euripides/William Arrowsmith|1494
Euripides/David Kovacs|1495
Euripides/Georgia Ann Machemer/Michael   Collier|1499
William Allan|1504
Robert J. Milch|1506
Euripides/David Kovacs|1509
Euripides/David Kovacs|1510
Euripides/Pantelis Michelakis|1511
Euripides/David Grene/Richmond Lattimore|1515
Aeschylus/David Grene/Richmond Lattimore|1516
Aeschylus/David Grene/Richmond Lattimore/Seth Benardete|1517
Aeschylus/Alan Shapiro/Peter H. Burian|1518
Aeschylus/Robert Fagles/William Bedell Stanford|1519
Aeschylus/Peter Meineck/Helene P. Foley|1521
Aeschylus/Philip Vellacott|1523
Aeschylus/Ted Hughes|1525
Aeschylus/David R. Slavitt/Smith Palmer Bovie|1526
Aeschylus/Richmond Lattimore/David Grene|1527
Simon Goldhill|1529
Aeschylus/George Thomson/Richard Seaford|1530
Aeschylus/David R. Slavitt/Smith Palmer Bovie|1531
Aeschylus/E.D.A. Morshead|1532
Aeschylus/E.D.A. Morshead|1533
Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson|1536
Sophocles/Paul Roche|1537
Sophocles/Paul Roche|1538
Sophocles/Robert Fitzgerald/Dudley Fitts|1540
Sophocles/Robert Fagles/Bernard Knox|1542
Sophocles/Peter Meineck/Paul Woodruff|1546
Sophocles/David Grene/Charles Segal|1547
Sophocles/E.F. Watling|1548
Sophocles/Edith Hall/H.D.F. Kitto|1549
Sophocles/J.E. Thomas|1554
Sophocles/Paul Roche|1555
Sophocles/Roger D. Dawe|1558
Sophocles/Bernard Knox/Cynthia Brantley Johnson|1559
Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker|1560
Aristophanes/Jeffrey Henderson|1561
Aristophanes/Moses Hadas|1562
Aristophanes/David R. Slavitt|1563
Aristophanes/Peter Meineck|1566
Aristophanes/Alan H. Sommerstein|1567
Aristophanes/Jeffrey Henderson|1568
Aristophanes/Kenneth James Dover|1571
Aristophanes/Jeffrey Henderson|1572
Aristophanes/David B. Barrett|1576
Aristophanes/Dudley Fitts|1577
Aristophanes/Jeffrey Henderson|1579
W. John Campbell|1584
Douglas M. MacDowell|1585
Aristophanes/Douglass Parker|1586
Aristophanes/S. Douglas Olson|1590
Aristophanes/Sarah Ruden|1591
Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett|1592
Andrea Wilson Nightingale|1595
Mark Haddon|1618
George Pelecanos|1620
William Shakespeare|1625
Annie Proulx|1627
David    Allen|1633
Geoffrey M. Bellman|1634
Ricardo Piglia|1642
Ricardo Piglia|1643
Ricardo Piglia/Amanda Hopkinson|1645
Ricardo Piglia|1646
Ricardo Piglia|1654
Karen  O'Connor/Larry J. Sabato|1658
