a_authors|a_authrating
Arielle Ford/Deepak Chopra|4.08
Arien Mack/Irvin Rock|4.2
Aristophanes/Alan H. Sommerstein|3.95
Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett|3.69
Aristophanes/B.B. Rogers|3.8
Aristophanes/David B. Barrett|3.94
Aristophanes/David R. Slavitt|3.83
Aristophanes/Douglass Parker|3.85
Aristophanes/Dudley Fitts|4.03
Aristophanes/F.W. Hall/W.M. Geldart|5.0
Aristophanes/Jeffrey Henderson|3.898
Aristophanes/Kenneth James Dover|3.75
Aristophanes/Moses Hadas|4.21
Aristophanes/Peter Meineck|3.77
Aristophanes/Peter Meineck/Ian C. Storey|3.77
Aristophanes/Robert Mayhew|3.77
Aristophanes/S. Douglas Olson|3.6
Aristophanes/Sarah Ruden|3.85
Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker|4.06
Aristotle|3.94
Aristotle/Hippocrates George Apostle|3.94
Aristotle/James Alexander Kerr Thomson/Jonathan Barnes/Hugh Tredennick|3.94
Aristotle/Joe Sachs|3.94
Aristotle/Jonathan Barnes|4.43
Aristotle/Malcolm Heath|3.82
Aristotle/Martin Ostwald|3.94
Aristotle/Richard Peter McKeon/C.D.C. Reeve|4.24
Aristotle/Stephen Everson|3.98
Aristotle/W.S. Hett|4.57
Armand Marie Leroi|4.05
Armistead Maupin|4.185
Arnold Rampersad|4.15
Arnon Grunberg/Sam Garrett|3.34
Art Spiegelman|4.445
Arthur  Miller|3.735
Arthur  Miller/Christopher Bigsby|3.58
Arthur  Miller/Harold Clurman/Christopher Bigsby|4.21
Arthur  Miller/Tony Kushner|4.22
Arthur Agatston|3.45
Arthur Bennett|4.54
Arthur C. Clarke|4.125
Arthur C. Clarke/Stephen Baxter|3.83
Arthur Conan Doyle|4.3425
Arthur Conan Doyle/Anne Perry/Sidney Paget|4.11
Arthur Conan Doyle/David Timson|4.11
Arthur Conan Doyle/Francis O'Gorman|4.11
Arthur Conan Doyle/Javier Gomez Rea|4.33
Arthur Conan Doyle/John Gielgud/Ralph Richardson/Orson Welles|3.96
Arthur Conan Doyle/John M. Lynch|3.39
Arthur Conan Doyle/Kyle Freeman|4.48
Arthur Conan Doyle/Leslie S. Klinger|4.585
Arthur Conan Doyle/Pam Smy|4.11
