a_authors|a_authrating
John Harold Haynes|3.85
John Harwood Hick|3.68
John Helfers/Esther M. Friesner/Nina Kiriki Hoffman/Bruce Holland Rogers/Peter Crowther/R. Davis/Charles de Lint/Elizabeth Ann Scarborough/Michelle Sagara West/Nancy Springer/Dean Wesley Smith/Kristine Kathryn Rusch/Josepha Sherman/Jane Lindskold/Genevieve Gorman/Kristin Schwengel/Jean-François Podevin/Zane Stillings/Carol Rondou|3.38
John Helfers/Russell Davis/Tom Clancy/Steve Pieczenik|4.0
John Henry Newman|4.12
John Hersey|4.125
John Hodgman|3.82
John Howard Griffin|4.13
John Irving|3.57076923076923
John Irving/Carlos Milla Soler|3.63
John Irving/Hans Hermann|3.9
John Irving/Iris Menéndez|3.9
John J. Nance|3.96
John Jackson Miller/Travis Charest/Michael Atiyeh/Brian Ching/Travel Foreman|4.07
John Julius Norwich|4.12
John Keats/Jeffrey N. Cox|4.3
John Keegan|3.83
John Kennedy Toole|3.89
John Kennedy Toole/Walker Percy|3.89
John Kenneth Galbraith|3.6
John Kenneth Galbraith/James Ronald Stanfield/J. Ron Stanfield/Jacqueline Bloom Stanfield|4.5
John Knoll/J.W. Rinzler|4.13
John Knowles/David Levithan|3.57
John Lange|3.53
John Lawrence Peterson|3.87
John Lawrence Peterson/Jacqueline Rogers/Roberta Carter Clark|3.76
John Lescroart|4.015
John Lewis Gaddis|4.03
John Lindow|4.11
John M. Barry|3.96
John M. Hull/Oliver Sacks|3.98
John M. Merriman|4.0
John M. Perkins/Shane Claiborne|4.35
John Maddox Roberts|3.91
John Major Jenkins/Terence McKenna|3.71
John Marco|3.9
John Mason|3.64
John Maynard Smith|4.0
John Maynard Smith/Eörs Szathmáry|4.13
John McPhee|4.14636363636364
John McPhee/William Howarth|4.42
John Milner/Piet Mondrian|3.73
John Milton/Christopher Ricks/Susanne Woods|4.08
John Milton/Gordon Teskey|3.82
John Milton/Gustave Doré|3.82
John Milton/John      Leonard|3.82
John Milton/John T. Shawcross|4.06
John Milton/Jonathan Goldberg/Stephen Orgel|4.24
John Milton/Merritt Y. Hughes|4.18
John Milton/Merritt Y. Hughes/David Scott Kastan|3.82
John Milton/Philip Pullman|3.82
John Milton/Roy C. Flannagan|4.26
John Milton/Scott Elledge|3.82
John Newhouse|3.63
John O'Donohue|4.47
John Ostrander/Jan Duursema|4.04
John Ostrander/Jan Duursema/Dan Parsons|4.1
John Ostrander/W. Haden Blackman|3.85
John Ostrander/Welles Hartley/Jan Duursema|4.11
John Patrick Diggins/Arthur M. Schlesinger Jr.|3.88
John Peel|4.12
John Perkins|3.97
John Piper|4.22857142857143
John Piper/Justin Taylor/Mark Talbot/David A. Powlison/Steve Saint/Dustin Shramek/Carl Ellis|4.3
John Prevas|3.83
John S.D. Eisenhower|3.93
John S.D. Eisenhower/Joanne Thompson Eisenhower|3.72
John Sandford|4.18142857142857
John Saul|3.91125
John Saul/Joe Blades|3.75
John Steinbeck|3.99833333333333
John Steinbeck/Elaine Steinbeck/Robert DeMott|4.38
John Steinbeck/Richard Astro|3.84
John Steinbeck/Robert DeMott/Mick Wiggins|3.96
John Steinbeck/Susan Shillinglaw|3.99
John Terra|4.0
John Tosh/Sean Lang|3.46
John Updike|3.80833333333333
John Updike/Edward Gorey|4.23
John W. Dean/Arthur M. Schlesinger Jr.|3.73
John W. Dettman|3.5
John W. Gardner|3.82
John W. Schott/Jean S. Arbeiter|2.67
John Warry/Phillip de ste. Croix|4.14
John Waters|4.21
John Weld/Phil Interlandi|0.0
John Wilcockson/Graham   Watson|3.67
John Wooden/Steve Jamison|4.45
John le Carré|3.95
Johnny Cash/Patrick   Carr|4.07
Jon   Stewart|3.59
Jon   Stewart/Scott C. Jacobson|4.02
Jon Agar/Jon Turney|3.33
Jon Kabat-Zinn|3.97
Jon Krakauer|4.05
Jon Lee Anderson/José Hernández/Leena Nivala|4.12
Jon M. Gibson/Chuck Klosterman|4.11
Jon Meacham|3.8
Jon Ronson|3.83666666666667
Jon Stone/Michael J. Smollin|4.44
Jonathan  A. Goldstein/Anonymous|3.96
Jonathan  Andrews/Andrew Scull|3.42
Jonathan Barnes|4.09
Jonathan Barnes/Ted Honderich|4.14
Jonathan Carroll|3.868
Jonathan Carroll/Dave McKean|4.05
Jonathan Clements/Helen McCarthy|4.04
Jonathan Croall/Peter Hall|4.0
Jonathan Franzen|3.42
Jonathan Hale|3.92
Jonathan Harr|3.81666666666667
Jonathan Kozol|4.25
Jonathan Lethem|3.56
Jonathan Parshall/Anthony Tully|4.42
Jonathan Phillips|4.04
Jonathan Ryder/Robert Ludlum|3.62
Jonathan Safran Foer|3.92666666666667
Jonathan Safran Foer/Dirk van Gunsteren|3.9
Jonathan Shay|4.25
Jonathan Swift|4.05
Jonathan Swift/Claude Julien Rawson/Ian Higgins|3.57
Jonathan Swift/David Case|3.57
Jonathan Swift/Isaac Asimov|3.57
Jonathan Swift/Jesse Gale|3.79
Jonathan Swift/Robert A. Greenberg|3.57
Jonathan Swift/Robert DeMaria Jr.|3.57
Jonathan Swift/Robert Hardy|3.57
Jonathan Swift/YKids|3.57
Jonathan Wolff|4.11
Jorge Bucay/Silvia Salinas|3.73
Jorge Cervantes|4.39
Jorge Cruise|3.1
Jorge Luis Borges|4.435
Jorge Luis Borges/Andrew Hurley|4.31
Jorge Luis Borges/Călin-Andrei Mihăilescu|4.32
Jorge Luis Borges/Eliot Weinberger|4.33
Jorge Luis Borges/Eliot Weinberger/John M. Fein/James E. Irby/Donald A. Yates|4.38
Jorge Luis Borges/Gordon Botherston/Peter Hulme|4.45
Jorge Luis Borges/James E. Irby/Donald A. Yates/André Maurois|4.46
Jorge Luis Borges/John Sturrock/Anthony Kerringan|4.45
Jorge Luis Borges/Margarita Guerrero/Peter Sís/Andrew Hurley|4.09
Jorge Luis Borges/Suzanne Jill Levine/Esther Allen|4.52
Jorge Luis Borges/Suzanne Jill Levine/Esther Allen/Eliot Weinberger|4.43
Joscelyn Godwin|3.46
Josef Pieper/Richard Winston/Clara Winston|4.5
Joseph A. Tainter|4.15
Joseph Blotner|4.13
Joseph Bruchac/Diana Magnuson|3.91
Joseph Bruchac/Jonathan London/Thomas Locker|4.08
Joseph Campbell|4.22
Joseph Campbell/Bill Moyers|4.29
Joseph Campbell/David Kudler|4.43
Joseph Conrad|3.47
Joseph Conrad/Cedric Watts|3.74
Joseph Conrad/Morton Dauwen Zabel/Frederick R. Karl|4.28
Joseph Delaney|3.99
Joseph E. Stiglitz|3.85
Joseph Epstein|3.9
Joseph Frank|4.5
Joseph Gallagher|4.49
Joseph Heller|3.56
Joseph J. Ellis|3.955
Joseph McMoneagle|3.59
Joseph O'Connor/Diethard Herles/Pauline McLynn/Gerard Stembridge/Frank McCourt/Conor McPherson/Gene Kerrigan/Gina Moxley/Marian Keyes/Anthony Cronin/Owen O'Neill/Hugo Hamilton/Charlie O'Neill/Tom Humphries/Donal O'Kelly|3.4
Joseph Pearce|4.06
Joseph Vargo/Christine Filipak/Eric Muss-Barnes/Jalone J. Haessig/Joseph Iorillo/Robert Michaels/Russell Novotny/James Pipik|4.23
Joseph Wambaugh|3.765
Josiah Bunting/Arthur M. Schlesinger Jr.|3.89
Joss Whedon/John Cassaday|4.2
Jostein Gaarder/Anne   Born|3.67
Jostein Gaarder/James Anderson|3.76
Jostein Gaarder/Paulette Møller|3.92
José Saramago|3.8
José Saramago/Basilio Losada|4.29
José Saramago/Giovanni Pontiero|4.02
José Saramago/Margaret Jull Costa|3.865
José Saramago/Peter Sís/Margaret Jull Costa|3.89
José Saramago/Pilar del Río|3.8825
Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco|4.39
Joy King|4.15
Joy Kogawa|3.64
Joyce Carol Oates|3.57312499999999
Joyce Carol Oates/Barry Moser/Erhan Sunar|3.19
Joyce Carol Oates/Claude Seban|3.99
Joyce Carol Oates/Elaine Showalter|3.78333333333333
Joyce Lankester Brisley|4.12
Joyce Meyer|4.34
Joyce Reardon/Steven Rimbauer/Ridley Pearson|3.67
João Guimarães Rosa|4.33
Ju-Yeon Rhim|3.49
Juan Bonilla/Esther Allen|3.54
Juan Rulfo|4.146
Juan Rulfo/Carlos Fuentes/Margo Glantz/Jorge Alberto Lozoya/Eduardo Rivero/Víctor Jiménez/E. Billeter|4.47
Juan Rulfo/Kermit Oliver/George D. Schade|4.19
Juan Rulfo/Margaret Sayers Peden/Susan Sontag|4.05
Judd Winick/Matthew Clark/Art Thibert/Pop Mhan/Ron Randall|3.43
Jude Fisher|4.21666666666667
Jude Fisher/Viggo Mortensen|4.51
Jude Watson|3.845
Judi Barrett/Diane Dawson Hearn|3.8
Judi Barrett/Ron Barrett|4.135
Judith A. Lansdowne|4.02
Judith Butler|3.76
Judith Butler/Ernesto Laclau/Slavoj Žižek|3.92
Judith Cornell/Joan Borysenko/Miron Borysenko|4.11
Judith Farr/Louise Carter|3.84
Judith Larner Lowry|4.29
Judith M. Meloy|3.73
Judith McNaught|4.13
Judith Thurman|4.06
Judith Viorst/Laura Gibson|3.93
Judith Viorst/Richard  Hull|3.91
Judy Blume|3.84
Judy Hall|4.38
Judy Sierra/Marc Brown|4.17
Judy Tam Sargent/Sonia Nordenson|3.2
Jules Verne|3.8175
Jules Verne/Agnes D. Kingston|3.59
Jules Verne/Anthony Bonner|3.88
Jules Verne/Caleb Carr/Jordan Stump|4.11
Jules Verne/George M. Towle/Bruce Sterling|3.93
Jules Verne/Herbert R. Lottman/Jacqueline Rogers|3.93
Jules Verne/Jordan Stump/Caleb Carr|4.11
Julia Alvarez|3.83
Julia Briggs|4.15
Julia Butterfly Hill|3.95
Julia Child/Alex Prud'Homme|4.17
Julia Glass|3.57
Julia Golding|4.21
Julia Indichova/Christiane Northrup|3.83
Julia Jarman/Adrian    Reynolds|4.03
Julia Wilkinson|4.27
Julian Barnes|3.7325
Julian Caldecott/Lera Miles|4.5
Julian Jaynes|4.25
Julian Markels|3.33
Julian May|4.116
Julian Rubinstein|4.02
Julie A. Schrader|4.29
Julie Aigner-Clark|4.0
Julie Aigner-Clark/Nadeem Zaidi|3.61333333333333
Julie Andrews Edwards/Emma Walton Hamilton/Tony Walton/Ruby Randig|3.31
Julie Andrews Edwards/Johanna Westerman|4.24
Julie E. Czerneda|4.13
Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye|3.77
Julie Garwood|4.0
Julie Kenner|3.61555555555555
Julie Leto|3.58
Julie Mullaney|4.01
Julie Orringer|3.96
Julie Otsuka|3.73
Julie Powell|3.7
Julie Sylvester/David Sylvester|5.0
Juliet Marillier|4.08666666666667
Juliette Aristides|4.12
Juliette Benzoni/Francisco Rodriguez de Lecea|4.19
Juliette De Bairacli Levy|4.31
Juliette De Bairacli Levy/Heather  Wood|4.45
Jun'ichirō Tanizaki|3.8
Jun'ichirō Tanizaki/Anthony H. Chambers|3.68
Jun'ichirō Tanizaki/Edward G. Seidensticker|4.03
Jun'ichirō Tanizaki/Edward G. Seidensticker/Thomas J. Harper/Charles Moore|4.09
Jun'ichirō Tanizaki/Howard Hibbett|3.75
Jun'ichirō Tanizaki/Paul McCarthy|3.8
Jun'ichirō Tanizaki/Thomas J. Harper/Edward G. Seidensticker|4.09
June Casagrande|3.78
Jung Chang|4.26
Jung Chang/Jon Halliday|3.83
Junichi Satō/Kaori Naruse|3.97
Junji Ito/伊藤潤二|4.14
Junji Ito/伊藤潤二/Naomi Kokubo|4.1
Justin   O'Brien|3.5
Justin Akers Chacón/Mike  Davis|4.08
Justin Kaplan|3.99
Justine Korman Fontes/Geoff Waring|3.5
Jürgen Habermas/Jacques Derrida/Giovanna Borradori|3.89
K.A. Applegate/Katherine Applegate|3.77
Kahlil Gibran|4.29333333333333
Kahlil Gibran/John Walbridge/Robin Waterfield|4.19
Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari|3.68
Kahlil Gibran/جبران خليل جبران|4.03
Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris|3.92
Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer|4.03
Kahlil Gibran/جبران خليل جبران/Jihad El|4.23
Kaho Miyasaka|4.075
Kang-Woo Lee/Lauren Na|4.03
Kaoru Mori/森 薫|3.83
Kara/Jee-Hyung Lee|4.14
Kara/Lee Chi-Hyong|3.95
Kara/Lee Yun-Hee|4.085
Karel Čapek/M. Weatherall/R. Weatherall/Ivan Klíma|4.17
Karen  O'Connor/Larry J. Sabato|3.098
Karen A. Bale|2.77
Karen Armstrong|3.975
Karen Berman/Joe Knight/John  Case|4.12
Karen Cushman|3.715
Karen Cushman/Trina Schart Hyman|3.74
Karen Essex|3.72
Karen Harper|4.05
Karen Hawkins|3.8
Karen Hesse|3.77
Karen Hesse/Evon Zerbetz/Kim McGillivray|3.78
Karen Hesse/Wendy Watson|4.13
Karen Joy Fowler|3.08
Karen Katz|3.84
Karen Kingsbury|4.3925
Karen Kingsbury/Gary Smalley|4.444
Karen Rizzo|3.67
Karen Tei Yamashita|3.725
Karen Traviss|4.24
Karen Zeinert/Mary Miller|4.0
Karin Slaughter|4.11666666666667
Karin Slaughter/Denise Mina/John Harvey/Kelley Armstrong/John Connolly/Emma Donoghue/Jane Haddam/Laura Lippman/Peter Robinson/Fidelis Morgan/Peter Moore Smith/Lynda La Plante/Jerrilyn Farmer/Lee Child/Mark Billingham|3.48
Karin Slaughter/Peter Robinson/John Connolly/Denise Mina/Mark Billingham|3.48
Karl Barth/Emil Brunner/Peter Fraenkel|3.72
Karl Jaspers/Ralph Manheim|3.92
Karl Marx/Friedrich Engels|3.55
Karl Marx/Friedrich Engels/Eric Hobsbawm|3.55
Karl Marx/Friedrich Engels/Gareth Stedman Jones|3.55
Karl Marx/Friedrich Engels/John E. Toews|3.55
Karl Marx/Friedrich Engels/Martin Puchner|3.65
Karl Marx/Friedrich Engels/Phil Gasper|3.55
Karl Marx/Friedrich Engels/Samuel Moore|3.55
Karl Marx/Gareth Stedman Jones/Friedrich Engels|3.55
Karyn Monk|3.75
Kate Atkinson|3.77333333333333
Kate Atkinson/Jean Bourdier|3.96
Kate Atkinson/Traverse Theatre|3.61
Kate Bornstein/Sara Quin|4.03
Kate Braverman/Rick Moody|3.95
Kate Chopin/Cynthia Brantley Johnson/Alyssa  Harad|3.92
Kate Chopin/Margo Culley|3.65
Kate Chopin/Sandra M. Gilbert|4.28
Kate DiCamillo|3.93
Kate DiCamillo/Bagram Ibatoulline|4.37
Kate DiCamillo/Chris Van Dusen|4.12
Kate DiCamillo/Timothy Basil Ering|4.04
Kate Elliott|3.91
Kate Hemphill/Zoë Ross/Louise Bostock Lang|4.07
Kate Horsley|3.71
Kate Jacobs|3.42
Kate Klise/M. Sarah Klise|4.2
Kate Maurer/F. Scott Fitzgerald/CliffsNotes|3.7
Kate McMullan/Janet Allison Brown/R.W. Alley|3.84
Kate McMullan/Paul Van Munching/Glenn Dean/Kate McCullan/Robert Louis Stevenson|3.81
Kate Mosse|3.57
Kate Mosse/Claudia Conde|3.57
Kate Pennington|3.02
Kate Sedley|4.07
Kate Summerscale/Joe Carstairs|3.69
Kate Walker|3.0
Katharine Holabird/Helen Craig|3.88
Katharine McMahon|3.25
Katherine Beckett/Theodore Sasson|3.87
Katherine Dunn|3.97
Katherine E. Krohn|3.79
Katherine Hall Page|3.68
Katherine Neville|3.91
Katherine Paterson|4.015
Katherine Paterson/Donna Diamond|4.0
Katherine Ramsland/Anne Rice|3.94
Kathleen A. Brehony|3.99
Kathleen Banks Freeman/Hermann Alexander Diels|4.25
Kathleen Eagle|3.79
Kathleen Eschenburg|3.88
Kathleen Olmstead/Jack London/Dan Andreasen/Arthur Pober|4.24
Kathleen Parkinson/F. Scott Fitzgerald|3.88
Kathleen V. Kudlinski/S.D. Schindler|3.93
Kathleen Winsor|3.99
Kathryn  Hughes|4.05
Kathryn Lasky|3.945
Kathryn Lasky/Richard Cowdrey|4.08
Kathy Acker|3.54
Katrina Kittle|4.02
Kay Arthur|4.16
Kay Redfield Jamison|4.06
Kaye Gibbons|3.855
Kaza Kingsley/Melvyn Grant|4.0
Kazuo Ishiguro|3.695
Kazuo Ishiguro/Rosalyn Landor|3.82
Kazuo Umezu|3.89
Kei Kusunoki/Kaoru Ohashi|3.46
Kei Ohishi/Joe Swift|3.82
Keith Badman/Keith Badman|4.56
Keith Baker|3.65
Keith Donohue|5.0
Keith Gray|3.39
Keith Herber|3.675
Keith Herber/Brian M. Sammons/William Dietze/Chaosium Inc.|3.92
Kelley Armstrong|4.08285714285714
Kelly  Carr|3.0
Kelly McGrath Vlcek/CliffsNotes/John Steinbeck|3.81
Ken Follett|3.835
Ken Follett/Arto Häilä|3.89
Ken Follett/David Tennant|3.58
Ken Haedrich|3.81
Ken Kesey|3.885
Ken Kesey/Charles Bowden|4.17
Ken Kesey/Ron Bevirt|3.63
Ken Knabb|4.26
Ken Mandelbaum|4.09
Kenneth C. Laudon/Jane P. Laudon|3.5
Kenneth Grahame/Gillian Avery|3.99
Kenneth H. Blanchard|3.83
Kenneth H. Blanchard/Don Shula|3.65
Kenneth H. Blanchard/Drea Zigarmi/Patricia Zigarmi|3.97
Kenneth H. Blanchard/Jesse Stoner|3.76
Kenneth H. Blanchard/Phil Hodges|4.04
Kenneth Osgood|3.85
Kenneth Robeson/Lester Dent|3.99
Kenneth Silverman|4.01
Kent R. Weeks|4.09
Kenzaburō Ōe|3.69
Kenzaburō Ōe/John Nathan|3.875
Keri Hulme|3.72
Kermit L. Hall/Paul Finkelman/James W. Jr. Ely|3.5
Kerry Patterson/Joseph Grenny/Ron McMillan/Al Switzler/Stephen R. Covey|4.03
Kevin   Walsh|4.16
Kevin Brockmeier|3.67
Kevin Crossley-Holland|4.01
Kevin D. Mitnick/William L. Simon/Steve Wozniak|3.76
Kevin Henkes|4.035
Kevin O'Malley/Carol Heyer/Scott Goto|4.08
Kevin S. Decker/Jason T. Eberl/William Irwin/George Lucas/William O. Stephens/Walter Ritoku Robinson/Richard H. Dees/Judith A. Barad/Elizabeth F. Cooke/Richard Hanley/Jerold J. Abrams/Robert Arp/Jan-Erik Jones|4.05
Kevin Smith/Phil Hester/Ande Parks|4.07
Kevin Trudeau|3.315
Kim Edwards|3.67
Kim Harrison|4.26666666666667
Kim Harrison/Lynsay Sands/Kelley Armstrong/Lori Handeland|3.78
Kim Newman|3.16
Kim Stanley Robinson|3.674
Kim Wilson/Tom Carpenter|3.79
Kimon Nicolaides/Mamie Harmon|3.9
King Arthur Flour|4.13
Kingdome 19|3.67
Kip S. Thorne/Stephen Hawking/Frederick Seitz|4.18
Kira Salak|3.93
Kitty Burns Florey|3.59
Kiyohiko Azuma/あずま きよひこ|4.38
Knut Hamsun/George Egerton|4.05
Knut Hamsun/Oliver Stallybrass|3.74
Knut Hamsun/Oliver Stallybrass/Gunnvor Stallybrass|3.96
Knut Hamsun/Sverre Lyngstad|3.84
Kohta Hirano|4.325
Konrad Eisenbichler|2.0
Konrad Lorenz/Marjorie Kerr Wilson|4.23
Kresley Cole|4.06333333333333
Kris Lane/Lyman L. Johnson|3.52
Kristi Gold|3.27
Kristian Fraga|4.26
Kristiana Gregory|4.27
Kuki Gallmann|3.8
Kurban Said|3.92
Kurban Said/Jenia Graman|3.92
Kurt Busiek/Alex Ross|4.22
Kurt Busiek/Fabian Nicieiza/Len Wein/Gerry Conway/Pete Woods/José Luis García-López|3.21
Kurt Busiek/Geoff Johns/Pete Woods/Renato Guedes|3.94
Kurt Busiek/Stuart Immonen|4.24
Kurt Eichenwald|4.23
Kurt Reighley|3.36
Kurt Reiter|4.0
Kurt Vonnegut Jr.|3.88200000000001
Kurt Vonnegut Jr./Daniel Simon|4.07
Kurt Vonnegut Jr./David Strathairn/Maria Tucci/Bill Irwin/Tony    Roberts/Dylan Baker|4.15
Kurt Vonnegut Jr./Ivan Chermayeff|3.78
Kurt Vonnegut Jr./Lee Stringer|3.72
Kym Douglas/Cindy Pearlman|3.37
Kyoko Hikawa|4.48
Kyoko Hikawa/Trina Robbins/Yuko Sawada/Walden Wong|4.31
Kyoko Hikawa/Yuko Sawada/Freeman Wong|4.47
Kōbō Abe/Donald Keene|3.91
Kōbō Abe/E. Dale Saunders|3.665
Kōbō Abe/Juliet Winters Carpenter|3.61
Kōji Suzuki/Glynne Walley|3.64
Kōji Suzuki/Robert B. Rohmer/Glynne Walley|3.82
Kōji Suzuki/Sakura Mizuki|3.58
L. Alan LeDoux|3.93
L. David Allen|3.45
L. John Mason|4.22
L. Sprague de Camp|3.65
L.A. Banks|4.15666666666666
L.A. Banks/J.M. Jeffries/Seressie Glass/Natalie Dunbar|4.12
L.M. Montgomery|4.105
L.M. Montgomery/Barbara Caruso|4.25
L.M. Montgomery/Clare Sieffert|4.23
L.M. Montgomery/Mary Henley Rubio/Elizabeth Hillman Waterston|4.24
L.M. Montgomery/Rea Wilmshurst|3.83
L.M. Montgomery/Susan O'Malley|4.23
Lady Sarashina/Ivan Morris|3.82
Lala Okamoto|1.67
Lalita Tademy|4.06
Lan Samantha Chang|3.92
Lance Armstrong/Sally Jenkins|3.65333333333333
Lane Smith|4.21
Lani Guinier/Stephen L. Carter|3.87
Lao Tzu/Ursula K. Le Guin/J.P. Seaton|4.3
Larry Bond|4.02
Larry Burkett|3.71
Larry J. Koenig|3.99
Larry J. Stephens|4.0
Larry McMurtry|4.13
Larry Young/Damian Couceiro/Kieron Dwyer|3.0
Laura  Jordan/Sandra Brown/Camino Estañ Requeni|3.94
Laura Buller/D.K. Publishing|3.91
Laura Caldwell|3.54
Laura Dave|3.45
Laura Driscoll/Alisa Klayman-Grodsky/Eric     Weiner|5.0
Laura E. Berk|3.64
Laura Esquivel|3.95
Laura Esquivel/Jordi Castells|3.28
Laura Esquivel/Jordi Castells/Ernesto Mestre-Reed|3.28
Laura Esquivel/Thomas  Christensen/Carol Christensen|3.95
Laura Esquivel/Yareli Arizmendi|3.95
Laura Florand|3.53
Laura Furman/David Guterson/Diane Johnson/Jennifer Egan|3.78
Laura Godwin/John Wallace|3.44
Laura Ingalls Wilder|4.13
Laura Ingalls Wilder/Cherry Jones|3.89
Laura Ingalls Wilder/Cherry Jones/Paul Woodiel|4.19
Laura Ingalls Wilder/Doris Ettlinger|4.14
Laura Ingalls Wilder/Garth Williams|4.12142857142857
Laura Ingalls Wilder/Renée Graef|4.17666666666667
Laura Ingalls Wilder/Renée Graef/Heather Henson|4.21
Laura Ingalls Wilder/Renée Graef/Jody Wheeler|4.15
Laura Ingalls Wilder/Richard  Hull|3.99
Laura Ingalls Wilder/Roger Lea MacBride/Margot Patterson Doss|3.84
Laura Ingalls Wilder/Stephen W. Hines|3.96333333333333
Laura Ingalls Wilder/William   Anderson|4.09
Laurel Thatcher Ulrich|4.01
Laurell K. Hamilton|3.9886956521739
Laurell K. Hamilton/Charlaine Harris/MaryJanice Davidson/Angela Knight/Vickie Taylor|3.77
Laurell K. Hamilton/MaryJanice Davidson/Eileen Wilks/Rebecca York|3.82
Laurell K. Hamilton/Stacie Ritchie/Jessica Ruffner/Brett Booth|4.17
Lauren  Levin/Lauren Blitzer|3.62
Lauren Bacall|3.95
Lauren Henderson/Chris Manby/Sarah Mlynowski/Jill A. Davis/Stella Duffy/Lisa Jewell/Marian Keyes/Sophie Kinsella/Adèle Lang/Carole Matthews/Anna Maxted/Megan McCafferty/Alisa Valdes/Isabel Wolff/Meg Cabot/Jessica Adams/Louise Bagshawe/Emily Barr/Jenny Colgan/Lynda Curnyn/Jennifer Weiner|3.63
Lauren Slater/Robert Atwan|3.88
Lauren Stringer|3.9
Lauren Weisberger|3.57
Lauren Willig|3.91
Laurence L. Brunton/John S. Lazo/Keith  L. Parker|4.29
Laurence Olivier|3.69
Laurence Sterne/Robert Folkenflik|3.74
Laurence Yep|3.64
Laurence Yep/David Wiesner|3.75
Laurence Yep/Isadore Seltzer|3.83
Laurence Yep/Kam Mak|3.93
Laurence Yep/Kam Mak/Ann Tashi Slater|3.45
Laurent de Brunhoff|3.82
Laurie Garrett/Steven M. Wolinsky|4.12
Laurie Halse Anderson|4.05
Laurie Halse Anderson/Mark Salisbury|4.06
Laurie Notaro|3.86333333333333
Lavigne|3.8
Lawrence Block|3.92222222222222
Lawrence Durrell|4.04
Lawrence Lessig|3.94
Lawrence M. Friedman|3.86
Lawrence M. Krauss/Stephen Hawking|3.83
Lawrence M. Lasher|4.0
Lawrence Otis Graham|3.835
Lawrence Sanders|3.902
Lawrence Watt-Evans|3.71
Le Ly Hayslip/James Hayslip/Jenny Wurts|3.8
Le Ly Hayslip/Jay Wurts|4.12
Leah Bendavid-Val/National Geographic Society|4.24
Lee Charles Kelley|3.7725
Lee Child|4.11666666666667
Lee Child/Dick Hill|4.12818181818182
Lee Child/Hayward Morse|4.09
Lee Child/Hayward Morse/Garrick Hagon|4.09
Lee Seldes|3.87
Legs McNeil/Gillian McCain|4.16
Leigh Nichols/Dean Koontz|3.83
Leil Lowndes|3.78
Lennard Zinn/Todd Telander|4.29
Lennart Hellsing/Fibben Hald|3.0
Leo Strauss/Joseph Cropsey|4.17
Leo Tolstoy|4.11
Leo Tolstoy/Amy Mandelker/Constance Garnett|4.05
Leo Tolstoy/Anthony Briggs/Orlando Figes|4.11
Leo Tolstoy/Aylmer Maude/Louise Maude/Azar Nafisi|3.84
Leo Tolstoy/Aylmer Maude/Nigel J. Cooper|4.41
Leo Tolstoy/Constance Garnett|4.09
Leo Tolstoy/Constance Garnett/A.N. Wilson|4.11
Leo Tolstoy/Constance Garnett/Amy Mandelker|4.05
Leo Tolstoy/David Magarshack/Priscilla Meyer|4.05
Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude|4.11
Leo Tolstoy/Hugh McLean|4.11
Leo Tolstoy/Louise Maude/Aylmer Maude|4.09
Leo Tolstoy/Orlando Figes/Anthony Briggs|4.11
Leo Tolstoy/Peter Constantine/Cynthia Ozick|3.79
Leo Tolstoy/Peter Sekirin|4.07
Leo Tolstoy/Richard Pevear/Larissa Volokhonsky|3.94
Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley|4.05
Leon Sciaky/Peter Sciaky|4.13
Leon Uris|3.94
Leonard  Orr|3.92
Leonard Cottrell|3.89
Leonard Michaels/Diane Johnson|3.86
Leonard Sweet/Brian D. McLaren|3.14
Leonard Sweet/Brian D. McLaren/Erwin Raphael McManus/Michael S. Horton/Frederica Matthewes-Green/Andy Crouch|3.36
Leonard Woolf|3.81
Leonardo Padura/John King|3.72
Leonardo da Vinci/H. Anna Suh|3.93
Leonardo da Vinci/Irma A. Richter|3.93
Leonardo da Vinci/Martin Kemp|4.17
Leonore Fleischer|3.87
Lerone Bennett Jr.|4.44
Les Beletsky/Jon L. Dunn|4.48
Les Standiford|4.03
Lesley Glaister|3.8
Leslie Gross Portney|4.12
Leslie Kelly|3.59
Lester del Rey/Terry Brooks|3.79
Let's Go Inc.|3.93
Lewis B. Namier/James Joll|3.11
Lewis Carroll/Donald J. Gray|4.06
Lewis Carroll/Douglas R. Nickel|4.01
Lewis Carroll/Graeme Base|4.14
Lewis Carroll/Helen Oxenbury|4.02
Lewis Carroll/Hugh Haughton/John Tenniel|4.07
Lewis Carroll/Jane Carruth/Rene Cloke|4.03
Lewis Carroll/John Tenniel|4.045
Lewis Carroll/John Tenniel/Martin Gardner|4.07
Lewis Carroll/John Tenniel/Tan Lin|4.07
Lewis Carroll/Richard  Kelly|4.02
Lewis Perdue|3.66
Li Bai/Du Fu/Arthur Cooper/Shui Chien-Tung|4.14
Liam Callanan|3.38
Libba Bray|3.79
Library Company of Philadelphia|4.44
Lidia Matticchio Bastianich/David Nussbaum/Christopher Hirsheimer|4.22
